id,title,year,posterURL
0,The Irishman,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg
1,Dangal,2016,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/cJRPOLEexI7qp2DKtFfCh7YaaUG.jpg
2,David Attenborough: A Life on Our Planet,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/zSKwyUDKDHiFU5syTTvQRDcGBPS.jpg
3,Lagaan: Once Upon a Time in India,2001,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/yNX9lFRAFeNLNRIXdqZK9gYrYKa.jpg
4,Roma,2018,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/kxZUWtJGbGqaUdXCYg2CTs8wyEc.jpg
5,To All the Boys I've Loved Before,2018,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/hKHZhUbIyUAjcSrqJThFGYIR6kI.jpg
6,The Social Dilemma,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/jcaM6V2tCtu6iMHDsGLBUbaYgYp.jpg
7,Okja,2017,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/pHlRr2MfjK77VIIAO7p0R4jhsJI.jpg
8,The Ballad of Buster Scruggs,2018,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/voxl654m7p36y8FLu8oQD7dfwwK.jpg
9,The Trial of the Chicago 7,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/ahf5cVdooMAlDRiJOZQNuLqa1Is.jpg
10,Article 15,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/egknEWNt2B0slG2OC0gSpLZdVHj.jpg
11,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,
12,Dolemite Is My Name,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/uoAqJg7ZSmftnBGOkupU1ySZQU0.jpg
13,Mudbound,2017,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/tf21kSKepMOlnorszWaiFwksKU4.jpg
14,Swades,2004,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/yUSL24kpHc9Nls4Pohia4shgcIM.jpg
15,Fyre,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/yFsP0BAJhAH3RTXCAnGvI1CtaUb.jpg
16,Miss Americana,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/z1HiEB1UEfdA5fPkngekjQ2vlCC.jpg
17,Virunga,2014,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/b59YdJZyRUu04hnWdmmz4kPjbTF.jpg
18,Black Friday,2004,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/a5s6liMFTQd7EHvCSSjavu4piPr.jpg
19,Talvar,2015,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/ldwvhHfD8olH6F1nAvAwl7naOK.jpg
20,The King,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/8u0QBGUbZcBW59VEAdmeFl9g98N.jpg
21,John Mulaney: Kid Gorgeous at Radio City,2018,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/fERO7sktbElVbGS1SGDKzQJWxtn.jpg
22,I Am Mother,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/b3jWxwWRFqvNDJTvBcmKJVHnzKK.jpg
23,Tell Me Who I Am,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/oMfiD7wjdwRxPSdZ7gz7iNO3Z0B.jpg
24,The Departed,2006,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/kWWAt2FMRbqLFFy8o5R4Zr8cMAb.jpg
25,Winter on Fire: Ukraine's Fight for Freedom,2015,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/c3IMOdEzVOiGli1LpEcZyjEIGje.jpg
26,Terminator 2: Judgment Day,1991,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/weVXMD5QBGeQil4HEATZqAkXeEc.jpg
27,I Lost My Body,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/z5dXCywyo8zEPNDkeQY7nbvkrz8.jpg
28,Django Unchained,2012,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg
29,The Half of It,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/jC1PNXGET1ZZQyrJvdFhPfXdPP1.jpg
30,The Boy Who Harnessed the Wind,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/yOr7RxHw15MMXNxGMXSmngDqHyI.jpg
31,The Devil All the Time,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/bVL7LGq528h3KzeNI90HOVbV5uW.jpg
32,The Fundamentals of Caring,2016,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/zZ0eda1GyHILNSoq9KF5u0hcq6O.jpg
33,Pieces of a Woman,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/OgUfLlhfBFx5BPK6LzBWFvBW1w.jpg
34,Gerald's Game,2017,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/32dippiypDdaKv7XFEfUlQ7kPup.jpg
35,On Body and Soul,2017,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/uguWEoZelSSckxgiQctlkZ6gpfU.jpg
36,Shutter Island,2010,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/52d7CAjnwh1cZXd2lhKaHVFMu0Q.jpg
37,Always Be My Maybe,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/3BO6pPa7qDcpPYct061Luh9fvst.jpg
38,The Intouchables,2011,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/ttx4GQl0azO6NJFWj4XNZCQOY7S.jpg
39,Bill Burr: Paper Tiger,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/zho1ypBSxia3bHCSeB4Znpzh7nM.jpg
40,Special 26,2013,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/qP3TuKDWb6fiHErmuvkuKqcb8fo.jpg
41,Kiss the Ground,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/a1fUwIQpJPOYNcDeFzX1o7Gd6J9.jpg
42,Crip Camp: A Disability Revolution,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/iALSypN3MhC6kBVwc9VpuJUlm1j.jpg
43,Extraction,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/nygOUcBKPHFTbxsYRFZVePqgPK6.jpg
44,No Direction Home: Bob Dylan,2005,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/Aq0H6dq0AjiUfeUbgvdOmSkME44.jpg
45,Kabhi Khushi Kabhie Gham,2001,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/lRl7wrJmkOzMTDVYFSIpUcsIjPQ.jpg
46,His House,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/s6XxJEe4ovVTMgmGmKeO87OFANU.jpg
47,Super Deluxe,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/6N346GcTUjhYa0InIiGHW61Zo3O.jpg
48,The Guernsey Literary & Potato Peel Pie Society,2018,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/55oz5d6NdH7ohbM1I1Euh1Tt6PN.jpg
49,A Secret Love,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/28LNd4KEpqt9i8sgXrVcrdr2kgI.jpg
